Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.287022049,-31.24640274,13.30804539,-15.98009968,37.53405576
1.292057883,-33.21017456,10.70220661,-15.4932375,38.17713097
1.297093716,-34.53445053,7.406497955,-14.92129517,38.34226825
1.302129549,-35.71200562,3.850380898,-14.51640892,38.74143655
1.307165383,-36.61408615,-0.06060504913,-14.24463177,39.28745998
1.312201216,-36.94573593,-4.480875969,-13.60716629,39.62600948
1.317240643,-36.58773804,-9.141514778,-12.36606121,39.68815109
1.322276476,-35.36240005,-13.79021454,-10.32782745,39.33615861
1.32731231,-33.15930557,-18.8056221,-7.956373215,38.94219875
1.332348143,-29.52417374,-23.93128586,-5.635559559,38.42060397
1.337383976,-22.65126038,-28.15593338,-4.233938694,36.38354598
1.34241981,-12.11440754,-31.34918213,-4.989188194,33.9767875
1.347446945,-1.063567281,-35.59949875,-7.376977444,36.3713525
1.352482831,9.579463005,-42.38966751,-8.235847473,44.23210606
1.357518612,21.39550972,-52.33849335,-5.253938198,56.78635037
1.362554445,35.60257721,-61.7993927,2.638854504,71.36996564
1.367590278,52.79337692,-66.13903809,13.42213726,85.68352686
1.372626112,70.35592651,-65.1394043,22.72223282,98.53627886
1.377671893,72.65352631,-56.5693512,29.01866913,96.54382185
1.382707726,72.06472015,-41.93840408,35.15380859,90.48725814
1.38774356,71.71733093,-32.62957764,44.28017807,90.38140883
1.392779393,71.44905853,-26.03193665,51.35042953,91.75781331
1.397815226,71.11846161,-14.85095024,49.71244812,88.0324588
1.40285106,70.8248291,-4.754593849,42.49042511,82.72967307
1.407889758,70.57790375,-3.569081783,34.14365005,78.48418746
1.412925591,68.55120087,-10.30234814,23.03053474,73.04663612
1.417961424,52.45483398,-18.80530167,10.18519688,56.64704065
1.422997258,31.92805862,-24.80529785,-0.5930624008,40.43581892
1.428033091,14.81829166,-28.07675552,-5.868806362,32.28511819
1.433068924,2.140015125,-27.85314941,-6.278381824,28.63207424
1.438087153,-3.542759895,-25.31820869,-3.782366753,25.84316423
1.443123039,-3.709174633,-22.49865723,-1.104068279,22.82907182
1.448158872,-1.686334133,-19.66420746,0.2717542648,19.73825292
1.453194706,0.09000015259,-16.56112862,0.190407753,16.5624677
1.458230539,0.4016308784,-13.7960434,-1.349349022,13.86769136
1.46326632,-0.4106125832,-12.00181198,-3.732036114,12.5753802
1.468323872,-1.691667557,-10.71656609,-6.093482971,12.44335415
1.473359706,-2.791361332,-9.335118294,-7.666358471,12.39795079
1.478395539,-3.786755085,-7.828756332,-8.149644852,11.91829061
1.483431372,-4.93776226,-6.491780281,-7.91170311,11.36308732
1.488467153,-6.309602261,-5.48664856,-7.217035294,11.04536063
1.493502987,-7.630992889,-4.476931572,-6.50687027,10.98245553
1.498543612,-8.6531744,-3.421194077,-6.245078087,11.20638195
1.503579445,-9.189679146,-2.424888372,-6.340287685,11.42495227
1.508615278,-9.266479492,-1.554068565,-6.561247349,11.46004965
1.513651112,-9.38715744,-0.7749009132,-6.919500351,11.68754385
1.518686945,-9.605054855,0.06794261932,-7.472335339,12.16953123
1.523722726,-9.73929882,0.7024407387,-8.177997589,12.7368367
1.528760851,-9.992099762,1.217569351,-8.582933426,13.22842693
1.533796685,-10.0236702,1.894826889,-8.628314972,13.360844
1.538832518,-9.810808182,2.573422432,-8.429909706,13.1885495
1.543868351,-9.418615341,3.184022903,-8.260253906,12.92594721
